No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"resultados","informational, navigational","201.000","-Bs1,00","1","58"
2,"resultados mlb","informational, navigational","4,1m","-Bs1,00","1","47"
3,"resultados de animalitos","informational, navigational","4,1m","-Bs1,00","1","23"
4,"resultados animalitos","informational, navigational","2,7m","-Bs1,00","1","17"
5,"resultados nba","informational, navigational","2,2m","-Bs1,00","1","23"
6,"resultados lotto activo","navigational, informational","1,8m","-Bs1,00","1","13"
7,"resultados de las loterías","informational","1,2m","-Bs1,00","1","49"
8,"resultados de lotto activo","informational, navigational","1,2m","-Bs1,00","1","25"
9,"resultados de futbol","informational","1,0m","-Bs1,00","1","59"
10,"resultados nhl","informational, navigational","823.000","-Bs1,00","1","22"
11,"resultados de animalitos de hoy","navigational, informational","673.000","-Bs1,00","1","16"
12,"resultados lvbp","navigational, informational","550.000","-Bs1,00","1","39"
13,"resultados animalitos hoy","navigational, informational","450.000","-Bs1,00","1","31"
14,"resultados de las loterías de hoy","informational","301.000","-Bs1,00","1","39"
15,"resultados guacharo","informational","301.000","-Bs1,00","1","8"
16,"resultados de la granjita","informational","246.000","-Bs1,00","1","8"
17,"resultados mlb hoy","navigational, informational","246.000","-Bs1,00","1","41"
18,"resultados espn nba","navigational, informational","201.000","-Bs1,00","1","27"
19,"resultados de nba","informational","165.000","-Bs1,00","1","31"
20,"resultados lotto rey","navigational, informational","135.000","-Bs1,00","1","19"
21,"resultados granjita","informational, navigational","110.000","-Bs1,00","1","8"
22,"resultados guacharo activo","informational, navigational","110.000","-Bs1,00","1","9"
23,"resultados granja millonaria","navigational, informational","110.000","-Bs1,00","1","12"
24,"resultados nfl","informational","110.000","-Bs1,00","1","42"
25,"resultados ruleta royal","navigational, informational","110.000","-Bs1,00","1","33"
26,"resultados de la lvbp","informational, navigational","90.500","-Bs1,00","1","35"
27,"resultados futbol hoy","navigational, informational","90.500","-Bs1,00","1","54"
28,"resultados nba hoy","navigational, informational","90.500","-Bs1,00","1","25"
29,"resultados del béisbol venezolano","informational","74.000","-Bs1,00","1","17"
30,"resultados de las loterías de ayer","informational","74.000","-Bs1,00","1","31"
31,"resultados lvbp hoy","navigational","60.500","-Bs1,00","1","36"
32,"resultados beisbol venezolano","informational, navigational","60.500","-Bs1,00","1","22"
33,"resultados espn","informational, navigational","49.500","-Bs1,00","1","36"
34,"resultados loto","informational, navigational","49.500","-Bs1,00","1","27"
35,"resultados lotto internacional","navigational, informational","49.500","-Bs1,00","1","8"
36,"resultados nhl espn","navigational, informational","49.500","-Bs1,00","1","16"
37,"resultados ruleta activa","navigational","49.500","-Bs1,00","1","34"
38,"resultados condor",null,"40.500","-Bs1,00","1","30"
39,"resultados guacharo hoy","navigational, informational","40.500","-Bs1,00","1","8"
40,"resultados rd","informational, navigational","40.500","-Bs1,00","1","13"
41,"resultados beisbol","informational","33.100","-Bs1,00","1","42"
42,"resultados guacharo activo hoy","navigational, informational","33.100","-Bs1,00","1","11"
43,"resultados la granjita","informational, navigational","33.100","-Bs1,00","1","10"
44,"resultados granja millonaria hoy",null,"27.100","-Bs1,00","1","13"
45,"resultados loteria del tachira","navigational, informational","27.100","-Bs1,00","1","10"
46,"resultados super gana","navigational, informational","27.100","-Bs1,00","1","16"
