No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"datos","informational","12.100","-Bs1,00","1","52"
2,"datos de lotto activo","navigational, informational","110.000","-Bs1,00","1","11"
3,"datos explosivos para hoy","navigational, informational, commercial","74.000","-Bs1,00","1","19"
4,"datos de animalitos para hoy","navigational, commercial","60.500","-Bs1,00","1","13"
5,"datos de la granjita","informational, commercial","60.500","-Bs1,00","1","10"
6,"datos explosivos para hoy guacharo","commercial, navigational, informational","49.500","-Bs1,00","1","8"
7,"datos fijos para hoy","navigational","40.500","-Bs1,00","1","21"
8,"datos nba","navigational","33.100","-Bs1,00","1","38"
9,"datos mlb","informational","33.100","-Bs1,00","1","54"
10,"datos parley","navigational","33.100","-Bs1,00","1","36"
11,"datos guacharo","commercial, informational","27.100","-Bs1,00","1","17"
12,"datos animalitos","navigational, informational, commercial","27.100","-Bs1,00","1","19"
13,"datos la granjita","commercial","27.100","-Bs1,00","1","11"
14,"datos americanas","commercial, navigational","22.200","-Bs1,00","1","24"
15,"datos de guacharo","informational, commercial","22.200","-Bs1,00","1","8"
16,"datos guacharo activo explosivo","commercial, navigational","22.200","-Bs1,00","1","16"
17,"datos fijos para hoy lotto activo","navigational","18.100","-Bs1,00","1","12"
18,"datos fijos lotto activo","navigational","14.800","-Bs1,00","1","26"
19,"datos granjita","commercial, navigational, informational","14.800","-Bs1,00","1","11"
20,"datos nhl","navigational","12.100","-Bs1,00","1","28"
21,"datos de futbol","informational, navigational","12.100","-Bs1,00","1","45"
22,"datos carreras americanas","commercial, navigational","12.100","-Bs1,00","1","29"
23,"datos de guacharo activo","informational, navigational, commercial","12.100","-Bs1,00","1","8"
24,"datos explosivos","commercial, informational","12.100","-Bs1,00","1","13"
25,"datos buenos de hoy de la granja millonaria","informational, navigational","9.900","-Bs1,00","1","17"
26,"datos carreras americanas hoy","navigational","9.900","-Bs1,00","1","37"
27,"datos del guacharo para las 6 de la tarde","commercial","9.900","-Bs1,00","1","16"
28,"datos de carreras americanas","commercial, navigational","9.900","-Bs1,00","1","29"
29,"datos granja millonaria","commercial, navigational","9.900","-Bs1,00","1","10"
30,"datos de nba","navigational, informational","8.100","-Bs1,00","1","45"
31,"datos fijos de animalitos","commercial, navigational","8.100","-Bs1,00","1","13"
32,"datos selva plus","navigational, commercial","8.100","-Bs1,00","1","9"
33,"datos animalitos para hoy","navigational, commercial","6.600","-Bs1,00","1","12"
34,"datos buenos para el guacharo activo","commercial, informational","6.600","-Bs1,00","1","8"
35,"datos para guacharo activo","commercial","6.600","-Bs1,00","1","16"
36,"datos futbol","navigational, informational","5.400","-Bs1,00","1","48"
37,"datos fijos","navigational, informational","5.400","-Bs1,00","1","19"
38,"datos lotto activo hoy","navigational","5.400","-Bs1,00","1","12"
39,"datos lotto","navigational, informational","5.400","-Bs1,00","1","11"
40,"datos filiatorios saime","navigational, commercial","4.400","-Bs1,00","1","22"
41,"datos americanas hoy","navigational","4.400","-Bs1,00","1","23"
42,"datos guacharito","commercial","4.400","-Bs1,00","1","8"
43,"datos guacharo hoy","navigational","4.400","-Bs1,00","1","8"
44,"datos mlb hoy","navigational, informational","4.400","-Bs1,00","1","47"
45,"datos nba hoy","navigational","4.400","-Bs1,00","1","39"
46,"datos rinconada","navigational","4.400","-Bs1,00","1","17"
47,"datos explosivos para hoy guacharo activo","commercial, navigational","3.600","-Bs1,00","1","8"
48,"datos online","navigational","3.600","-Bs1,00","1","27"
49,"datos parley nba","navigational","2.900","-Bs1,00","1","41"
50,"datos center","informational, commercial","2.900","-Bs1,00","9","36"
51,"datos de nhl","informational, navigational","2.900","-Bs1,00","1","22"
52,"datos para hoy lotto activo","navigational","2.900","-Bs1,00","1","11"
53,"datos curiosos","informational, navigational, commercial","2.400","-Bs1,00","1","28"
54,"datos de la granjita de hoy","navigational, informational","2.400","-Bs1,00","1","10"
55,"datos filiatorios","commercial, navigational","1.900","-Bs1,00","1","25"
56,"datos animalitos lotto activo","navigational, commercial","1.900","-Bs1,00","1","14"
57,"datos activo","navigational","1.900","-Bs1,00","1","23"
58,"datos explosivos para hoy lotto activo","navigational, commercial","1.900","-Bs1,00","1","25"
59,"datos lotto activo explosivos para hoy","navigational, commercial","1.900","-Bs1,00","1","19"
60,"datos loteria","informational, navigational","1.900","-Bs1,00","1","17"
61,"datos lotto internacional","navigational","1.900","-Bs1,00","1","8"
62,"datos parley futbol","navigational","1.900","-Bs1,00","1","40"
63,"datos ruleta activa","navigational, commercial","1.900","-Bs1,00","1","9"
64,"datos superfijos de la rinconada","commercial, navigational","1.900","-Bs1,00","1","25"
65,"datos trioactivo","informational, navigational, commercial","1.900","-Bs1,00","1","10"
66,"datos para guacharito",null,"1.900","-Bs1,00","1","13"
67,"datos hipicos",null,"1.900","-Bs1,00","1","18"
68,"datos calientes","commercial, navigational","1.600","-Bs1,00","1","16"
69,"datos futbol hoy","navigational","1.600","-Bs1,00","1","51"
70,"datos internacionales","navigational","1.600","-Bs1,00","5","44"
71,"datos lotto activo 777 para hoy","navigational","1.600","-Bs1,00","1","14"
72,"datos mlb para hoy","navigational, informational","1.600","-Bs1,00","1","42"
73,"datos nfl","informational","1.600","-Bs1,00","1","27"
74,"datos animalitos guacharo","commercial, informational, navigational","1.300","-Bs1,00","1","8"
75,"datos calientes de lotto activo","navigational, commercial","1.300","-Bs1,00","1","12"
76,"datos de animalitos para mañana","commercial, navigational","1.300","-Bs1,00","1","13"
77,"datos fijos para hoy animalitos","navigational, commercial","1.300","-Bs1,00","1","11"
78,"datos fijos para hoy lotto activo y granjita facebook millonario","navigational, commercial","1.300","-Bs1,00","1","27"
79,"datos guacharo activo hoy","navigational","1.300","-Bs1,00","1","8"
80,"datos lotto activo explosivos para hoy lotto activo resultados","navigational","1.300","-Bs1,00","1","13"
81,"datos nba para hoy","navigational","1.300","-Bs1,00","1","44"
82,"datos buenos para hoy 4 de la tarde granja millonaria","commercial, navigational","1.000","-Bs1,00","1","25"
83,"datos en estadística","informational, navigational","1.000","-Bs1,00","1","28"
84,"datos explosivos lotto activo","navigational, commercial","1.000","-Bs1,00","1","11"
85,"datos explosivos para hoy guacharo 777","commercial, navigational","1.000","-Bs1,00","1","10"
86,"datos guacharo 777","commercial, navigational","1.000","-Bs1,00","1","24"
87,"datos hipicos la rinconada","navigational","1.000","-Bs1,00","1","20"
88,"datos ruleta royal","commercial, navigational","1.000","-Bs1,00","1","13"
89,"datos nhl hoy","navigational","880","-Bs1,00","1","19"
90,"datos explosivos para hoy lotto activo para hoy venezuela","navigational","720","-Bs1,00","1","20"
91,"datos lvbp","navigational","720","-Bs1,00","1","13"
92,"datos rey","navigational, commercial","720","-Bs1,00","1","23"
93,"datos the best","informational, commercial","720","-Bs1,00","1","40"
94,"datos wnba","navigational, informational","720","-Bs1,00","1","14"
95,"actualizar datos 0800 mi hogar","navigational","590","-Bs1,00","1","11"
96,"datos 5y6 la rinconada","navigational","590","-Bs1,00","1","21"
97,"datos 777 guacharo","commercial, navigational","590","-Bs1,00","1","9"
98,"datos de tripletas para hoy","navigational, informational, commercial","590","-Bs1,00","1","12"
99,"datos santa anita","commercial, informational, navigational","590","-Bs1,00","1","16"
100,"datos tuazar","navigational","590","-Bs1,00","1","39"
101,"datos woodbine","commercial, informational, navigational","590","-Bs1,00","1","18"
102,"datos gulfstream",null,"590","-Bs1,00","2","19"
103,"datos aqueduct","informational, navigational","480","-Bs1,00","1","26"
104,"datos bruja jackeline","commercial","480","-Bs1,00","1","11"
105,"datos gratis","navigational","480","-Bs1,00","1","51"
106,"datos ilimitados movilnet","navigational, commercial","480","-Bs1,00","2","20"
107,"datos ncaa","navigational","480","-Bs1,00","1","14"
108,"datos para selva plus hoy","navigational","480","-Bs1,00","1","9"
109,"datos rd","navigational","480","-Bs1,00","1","24"
110,"datos selva plus hoy","navigational","480","-Bs1,00","1","9"
111,"datos 777 animalitos","navigational, commercial","390","-Bs1,00","1","12"
112,"datos centena plus","commercial, navigational","390","-Bs1,00","1","8"
113,"datos explosivos para hoy granjita y guacharo","commercial, informational","390","-Bs1,00","1","13"
